"well" "gene" "Ct" "type" "flag"
"A1" "gene1" 34.29 "data" "OK"
"A2" "gene2" 21.85 "data" "OK"
"A3" "gene3" 31.72 "data" "OK"
"A4" "gene4" 30.09 "data" "OK"
"A5" "gene5" 31.85 "data" "OK"
"A6" "gene6" 34.62 "data" "OK"
"A7" "gene7" 30.72 "data" "OK"
"A8" "gene8" 16.18 "data" "OK"
"A9" "gene9" 31.01 "data" "OK"
"A10" "gene10" 30.62 "data" "OK"
"A11" "gene11" 16.6 "data" "OK"
"A12" "gene12" 32.57 "data" "OK"
"A13" "gene13" 28.98 "data" "OK"
"A14" "gene14" 32.79 "data" "OK"
"A15" "gene15" 16.19 "data" "OK"
"A16" "gene16" 15.74 "data" "OK"
"A17" "gene17" 16.35 "data" "OK"
"A18" "gene18" 18.4 "data" "OK"
"A19" "gene19" 33.74 "data" "OK"
"A20" "gene20" 31.8 "data" "OK"
"A21" "gene21" 27.92 "data" "OK"
"A22" "gene22" 22.95 "data" "OK"
"A23" "gene23" 31.81 "data" "OK"
"A24" "gene24" 27.48 "data" "OK"
"A25" "gene25" 31.75 "data" "OK"
"A26" "gene26" 26.33 "data" "OK"
"A27" "gene27" 30.12 "data" "OK"
"A28" "gene28" 15.74 "data" "OK"
"A29" "gene29" 27.75 "data" "OK"
"A30" "gene30" 31.08 "data" "OK"
"A31" "gene31" 25.06 "data" "OK"
"A32" "gene32" 19.1 "data" "OK"
"A33" "gene33" 25.9 "data" "OK"
"A34" "gene34" 36.45 "data" "OK"
"A35" "gene35" 24.76 "data" "OK"
"A36" "gene36" 35.59 "data" "OK"
"A37" "gene37" 20.13 "data" "OK"
"A38" "gene38" 33.07 "data" "OK"
"A39" "gene39" 33.05 "data" "OK"
"A40" "gene40" 32.98 "data" "OK"
"A41" "gene41" 28.83 "data" "OK"
"A42" "gene42" 32.82 "data" "OK"
"A43" "gene43" 32.27 "data" "OK"
"A44" "gene44" 25.66 "data" "OK"
"A45" "gene45" 32.66 "data" "OK"
"A46" "gene46" 21.29 "data" "OK"
"A47" "gene47" 27.86 "data" "OK"
"A48" "gene48" 37.48 "data" "OK"
"A49" "gene49" 30.94 "data" "OK"
"A50" "gene50" 21.34 "data" "OK"
"A51" "gene51" 23.73 "data" "OK"
"A52" "gene52" 20.02 "data" "OK"
"A53" "gene53" 21.57 "data" "OK"
"A54" "gene54" 32.76 "data" "OK"
"A55" "gene55" 33.07 "data" "OK"
"A56" "gene56" 32.5 "data" "OK"
"A57" "gene57" 32.55 "data" "OK"
"A58" "gene58" 32.75 "data" "OK"
"A59" "gene59" 22.67 "data" "OK"
"A60" "gene60" 33.87 "data" "OK"
"A61" "gene61" 33.33 "data" "OK"
"A62" "gene62" 33.35 "data" "OK"
"A63" "gene63" 25.91 "data" "OK"
"A64" "gene64" 31.15 "data" "OK"
"A65" "gene65" 33.5 "data" "OK"
"A66" "gene66" 30.84 "data" "OK"
"A67" "gene67" 29.01 "data" "OK"
"A68" "gene68" 29.1 "data" "OK"
"A69" "gene69" 19.2 "data" "OK"
"A70" "gene70" 34.31 "data" "OK"
"A71" "gene71" 35.29 "data" "OK"
"A72" "gene72" 23.05 "data" "OK"
"A73" "gene73" 20.95 "data" "OK"
"A74" "gene74" 28.69 "data" "OK"
"A75" "gene75" 15.94 "data" "OK"
"A76" "gene76" 30.41 "data" "OK"
"A77" "gene77" 32.64 "data" "OK"
"A78" "gene78" 17.96 "data" "OK"
"A79" "gene79" 31.55 "data" "OK"
"A80" "gene80" 23.3 "data" "OK"
"A81" "gene81" 33.55 "data" "OK"
"A82" "gene82" 29.32 "data" "OK"
"A83" "gene83" 26.99 "data" "OK"
"A84" "gene84" 32.7 "data" "OK"
"A85" "ctrl1" 13.8 "hk" "OK"
"A86" "ctrl2" 14.98 "hk" "OK"
"A87" "ctrl3" 18.02 "hk" "OK"
"A88" "ctrl4" 19.78 "hk" "OK"
"A89" "ctrl5" 18.15 "hk" "OK"
"A90" "ctrl6" 38.3 "neg" "OK"
"A91" "ctrl7" "NA" "neg" "OK"
"A92" "ctrl8" "NA" "neg" "OK"
"A93" "ctrl9" "NA" "neg" "OK"
"A94" "ctrl10" 22.69 "pos" "OK"
"A95" "ctrl11" 22.51 "pos" "OK"
"A96" "ctrl12" 22.31 "pos" "OK"
