"well" "gene" "Ct" "type" "flag"
"A1" "gene1" 33.6 "data" "OK"
"A2" "gene2" 22.42 "data" "OK"
"A3" "gene3" 31.84 "data" "OK"
"A4" "gene4" 30.25 "data" "OK"
"A5" "gene5" 33.14 "data" "OK"
"A6" "gene6" 33.8 "data" "OK"
"A7" "gene7" 31.05 "data" "OK"
"A8" "gene8" 16.29 "data" "OK"
"A9" "gene9" 32.59 "data" "OK"
"A10" "gene10" 30.13 "data" "OK"
"A11" "gene11" 16.64 "data" "OK"
"A12" "gene12" 33.31 "data" "OK"
"A13" "gene13" 30.12 "data" "OK"
"A14" "gene14" 33.34 "data" "OK"
"A15" "gene15" 16.65 "data" "OK"
"A16" "gene16" 16.23 "data" "OK"
"A17" "gene17" 16.68 "data" "OK"
"A18" "gene18" 18.95 "data" "OK"
"A19" "gene19" 33.73 "data" "OK"
"A20" "gene20" 31.76 "data" "OK"
"A21" "gene21" 27.73 "data" "OK"
"A22" "gene22" 23.56 "data" "OK"
"A23" "gene23" 33.9 "data" "OK"
"A24" "gene24" 28.47 "data" "OK"
"A25" "gene25" 32 "data" "OK"
"A26" "gene26" 26.63 "data" "OK"
"A27" "gene27" 30.16 "data" "OK"
"A28" "gene28" 16.51 "data" "OK"
"A29" "gene29" 29.88 "data" "OK"
"A30" "gene30" 30.99 "data" "OK"
"A31" "gene31" 22.08 "data" "OK"
"A32" "gene32" 19.62 "data" "OK"
"A33" "gene33" 26.58 "data" "OK"
"A34" "gene34" 35.88 "data" "OK"
"A35" "gene35" 27.58 "data" "OK"
"A36" "gene36" 36.45 "data" "OK"
"A37" "gene37" 19.91 "data" "OK"
"A38" "gene38" 32.47 "data" "OK"
"A39" "gene39" 33.38 "data" "OK"
"A40" "gene40" 34.81 "data" "OK"
"A41" "gene41" 28 "data" "OK"
"A42" "gene42" 31.08 "data" "OK"
"A43" "gene43" 33.72 "data" "OK"
"A44" "gene44" 28.45 "data" "OK"
"A45" "gene45" 34.12 "data" "OK"
"A46" "gene46" 22.29 "data" "OK"
"A47" "gene47" 27.56 "data" "OK"
"A48" "gene48" 37.19 "data" "OK"
"A49" "gene49" 31.58 "data" "OK"
"A50" "gene50" 21.26 "data" "OK"
"A51" "gene51" 25.66 "data" "OK"
"A52" "gene52" 20.84 "data" "OK"
"A53" "gene53" 21.45 "data" "OK"
"A54" "gene54" 33.92 "data" "OK"
"A55" "gene55" 33.67 "data" "OK"
"A56" "gene56" 32.68 "data" "OK"
"A57" "gene57" 32.32 "data" "OK"
"A58" "gene58" 35.05 "data" "OK"
"A59" "gene59" 23.63 "data" "OK"
"A60" "gene60" 34.19 "data" "OK"
"A61" "gene61" 32.86 "data" "OK"
"A62" "gene62" 33.76 "data" "OK"
"A63" "gene63" 27.97 "data" "OK"
"A64" "gene64" 31.89 "data" "OK"
"A65" "gene65" 33.72 "data" "OK"
"A66" "gene66" 29.36 "data" "OK"
"A67" "gene67" 29.55 "data" "OK"
"A68" "gene68" 28.71 "data" "OK"
"A69" "gene69" 19.04 "data" "OK"
"A70" "gene70" 33.58 "data" "OK"
"A71" "gene71" 34.87 "data" "OK"
"A72" "gene72" 22.84 "data" "OK"
"A73" "gene73" 20.86 "data" "OK"
"A74" "gene74" 28.25 "data" "OK"
"A75" "gene75" 17.61 "data" "OK"
"A76" "gene76" 30.6 "data" "OK"
"A77" "gene77" 33.32 "data" "OK"
"A78" "gene78" 18.6 "data" "OK"
"A79" "gene79" 31.11 "data" "OK"
"A80" "gene80" 24.89 "data" "OK"
"A81" "gene81" 32.58 "data" "OK"
"A82" "gene82" 29.51 "data" "OK"
"A83" "gene83" 25.28 "data" "OK"
"A84" "gene84" 34.15 "data" "OK"
"A85" "ctrl1" 13.62 "hk" "OK"
"A86" "ctrl2" 15.92 "hk" "OK"
"A87" "ctrl3" 18.24 "hk" "OK"
"A88" "ctrl4" 19.88 "hk" "OK"
"A89" "ctrl5" 17.83 "hk" "OK"
"A90" "ctrl6" 38.54 "neg" "OK"
"A91" "ctrl7" "NA" "neg" "OK"
"A92" "ctrl8" "NA" "neg" "OK"
"A93" "ctrl9" "NA" "neg" "OK"
"A94" "ctrl10" 22.71 "pos" "OK"
"A95" "ctrl11" 22.73 "pos" "OK"
"A96" "ctrl12" 22.73 "pos" "OK"
