"well" "gene" "Ct" "type" "flag"
"A1" "gene1" 34.83 "data" "OK"
"A2" "gene2" 22.7 "data" "OK"
"A3" "gene3" 30.75 "data" "OK"
"A4" "gene4" 28.54 "data" "OK"
"A5" "gene5" 31.83 "data" "OK"
"A6" "gene6" 33.4 "data" "OK"
"A7" "gene7" 30.15 "data" "OK"
"A8" "gene8" 16.22 "data" "OK"
"A9" "gene9" 31.52 "data" "OK"
"A10" "gene10" 31.26 "data" "OK"
"A11" "gene11" 15.79 "data" "OK"
"A12" "gene12" 30.04 "data" "OK"
"A13" "gene13" 28.98 "data" "OK"
"A14" "gene14" 34.07 "data" "OK"
"A15" "gene15" 17.19 "data" "OK"
"A16" "gene16" 16.51 "data" "OK"
"A17" "gene17" 16.74 "data" "OK"
"A18" "gene18" 18.58 "data" "OK"
"A19" "gene19" 34.86 "data" "OK"
"A20" "gene20" 30.81 "data" "OK"
"A21" "gene21" 27.31 "data" "OK"
"A22" "gene22" 23 "data" "OK"
"A23" "gene23" 32.3 "data" "OK"
"A24" "gene24" 27.13 "data" "OK"
"A25" "gene25" 30.6 "data" "OK"
"A26" "gene26" 25.68 "data" "OK"
"A27" "gene27" 27.94 "data" "OK"
"A28" "gene28" 16.11 "data" "OK"
"A29" "gene29" 27.7 "data" "OK"
"A30" "gene30" 29.67 "data" "OK"
"A31" "gene31" 25.34 "data" "OK"
"A32" "gene32" 19.36 "data" "OK"
"A33" "gene33" 24.48 "data" "OK"
"A34" "gene34" 31.91 "data" "OK"
"A35" "gene35" 25.16 "data" "OK"
"A36" "gene36" 34.08 "data" "OK"
"A37" "gene37" 19.15 "data" "OK"
"A38" "gene38" 32.25 "data" "OK"
"A39" "gene39" 32.76 "data" "OK"
"A40" "gene40" 35.91 "data" "OK"
"A41" "gene41" 28.13 "data" "OK"
"A42" "gene42" 31.1 "data" "OK"
"A43" "gene43" "NA" "data" "OK"
"A44" "gene44" 25.87 "data" "OK"
"A45" "gene45" 35.43 "data" "OK"
"A46" "gene46" 21.95 "data" "OK"
"A47" "gene47" 26.01 "data" "OK"
"A48" "gene48" 36.87 "data" "OK"
"A49" "gene49" 30 "data" "OK"
"A50" "gene50" 21.08 "data" "OK"
"A51" "gene51" 23.18 "data" "OK"
"A52" "gene52" 22.35 "data" "OK"
"A53" "gene53" 20.94 "data" "OK"
"A54" "gene54" 34.82 "data" "OK"
"A55" "gene55" 33.59 "data" "OK"
"A56" "gene56" 34.2 "data" "OK"
"A57" "gene57" 31.99 "data" "OK"
"A58" "gene58" 35.75 "data" "OK"
"A59" "gene59" 22.82 "data" "OK"
"A60" "gene60" 34.74 "data" "OK"
"A61" "gene61" 32.92 "data" "OK"
"A62" "gene62" 35.23 "data" "OK"
"A63" "gene63" 25.57 "data" "OK"
"A64" "gene64" 29.87 "data" "OK"
"A65" "gene65" 35.05 "data" "OK"
"A66" "gene66" 28.1 "data" "OK"
"A67" "gene67" 28.93 "data" "OK"
"A68" "gene68" 28.94 "data" "OK"
"A69" "gene69" 18.64 "data" "OK"
"A70" "gene70" 34.8 "data" "OK"
"A71" "gene71" 34.52 "data" "OK"
"A72" "gene72" 23.21 "data" "OK"
"A73" "gene73" 20.43 "data" "OK"
"A74" "gene74" 27.83 "data" "OK"
"A75" "gene75" 14.61 "data" "OK"
"A76" "gene76" 28.81 "data" "OK"
"A77" "gene77" 34.3 "data" "OK"
"A78" "gene78" 18.06 "data" "OK"
"A79" "gene79" 29.06 "data" "OK"
"A80" "gene80" 22.76 "data" "OK"
"A81" "gene81" 31.25 "data" "OK"
"A82" "gene82" 28.68 "data" "OK"
"A83" "gene83" 25.81 "data" "OK"
"A84" "gene84" 34.91 "data" "OK"
"A85" "ctrl1" 15.09 "hk" "OK"
"A86" "ctrl2" 14.99 "hk" "OK"
"A87" "ctrl3" 17.26 "hk" "OK"
"A88" "ctrl4" 19.12 "hk" "OK"
"A89" "ctrl5" 17.39 "hk" "OK"
"A90" "ctrl6" "NA" "neg" "OK"
"A91" "ctrl7" "NA" "neg" "OK"
"A92" "ctrl8" "NA" "neg" "OK"
"A93" "ctrl9" "NA" "neg" "OK"
"A94" "ctrl10" 21.68 "pos" "OK"
"A95" "ctrl11" 21.65 "pos" "OK"
"A96" "ctrl12" 21.7 "pos" "OK"
