"well" "gene" "Ct" "type" "flag"
"A1" "gene1" 34.26 "data" "OK"
"A2" "gene2" 22.93 "data" "OK"
"A3" "gene3" 31.96 "data" "OK"
"A4" "gene4" 29.16 "data" "OK"
"A5" "gene5" 32.1 "data" "OK"
"A6" "gene6" 35.91 "data" "OK"
"A7" "gene7" 32.45 "data" "OK"
"A8" "gene8" 20.6 "data" "OK"
"A9" "gene9" 32.59 "data" "OK"
"A10" "gene10" 32.95 "data" "OK"
"A11" "gene11" 21.38 "data" "OK"
"A12" "gene12" 36.12 "data" "OK"
"A13" "gene13" 33.92 "data" "OK"
"A14" "gene14" 32.18 "data" "OK"
"A15" "gene15" 20.21 "data" "OK"
"A16" "gene16" 19.53 "data" "OK"
"A17" "gene17" 22.11 "data" "OK"
"A18" "gene18" 23.99 "data" "OK"
"A19" "gene19" 35.37 "data" "OK"
"A20" "gene20" 32.7 "data" "OK"
"A21" "gene21" 28.03 "data" "OK"
"A22" "gene22" 25.32 "data" "OK"
"A23" "gene23" 35.66 "data" "OK"
"A24" "gene24" 33.65 "data" "OK"
"A25" "gene25" 31.53 "data" "OK"
"A26" "gene26" 29.43 "data" "OK"
"A27" "gene27" 31.65 "data" "OK"
"A28" "gene28" 25.16 "data" "OK"
"A29" "gene29" 33.94 "data" "OK"
"A30" "gene30" 32.32 "data" "OK"
"A31" "gene31" 30.81 "data" "OK"
"A32" "gene32" 20.77 "data" "OK"
"A33" "gene33" 29.46 "data" "OK"
"A34" "gene34" 37.23 "data" "OK"
"A35" "gene35" 33.48 "data" "OK"
"A36" "gene36" 37.78 "data" "OK"
"A37" "gene37" 19.45 "data" "OK"
"A38" "gene38" 32.83 "data" "OK"
"A39" "gene39" 34.8 "data" "OK"
"A40" "gene40" 34.57 "data" "OK"
"A41" "gene41" 31.37 "data" "OK"
"A42" "gene42" 32.75 "data" "OK"
"A43" "gene43" 34.69 "data" "OK"
"A44" "gene44" 34.01 "data" "OK"
"A45" "gene45" 35.22 "data" "OK"
"A46" "gene46" 25.45 "data" "OK"
"A47" "gene47" 24.9 "data" "OK"
"A48" "gene48" 36.72 "data" "OK"
"A49" "gene49" 32.33 "data" "OK"
"A50" "gene50" 24.64 "data" "OK"
"A51" "gene51" 27.08 "data" "OK"
"A52" "gene52" 25.97 "data" "OK"
"A53" "gene53" 24.92 "data" "OK"
"A54" "gene54" 35.14 "data" "OK"
"A55" "gene55" 33.98 "data" "OK"
"A56" "gene56" 34.9 "data" "OK"
"A57" "gene57" 33.65 "data" "OK"
"A58" "gene58" 34.65 "data" "OK"
"A59" "gene59" 28.04 "data" "OK"
"A60" "gene60" 34.7 "data" "OK"
"A61" "gene61" 31.09 "data" "OK"
"A62" "gene62" 35.25 "data" "OK"
"A63" "gene63" 32.49 "data" "OK"
"A64" "gene64" 33.91 "data" "OK"
"A65" "gene65" 35.23 "data" "OK"
"A66" "gene66" 31.5 "data" "OK"
"A67" "gene67" 32.86 "data" "OK"
"A68" "gene68" 30.36 "data" "OK"
"A69" "gene69" 19.13 "data" "OK"
"A70" "gene70" 36.07 "data" "OK"
"A71" "gene71" 37.27 "data" "OK"
"A72" "gene72" 24.64 "data" "OK"
"A73" "gene73" 20.35 "data" "OK"
"A74" "gene74" 27.3 "data" "OK"
"A75" "gene75" 15.64 "data" "OK"
"A76" "gene76" 29.84 "data" "OK"
"A77" "gene77" 33.94 "data" "OK"
"A78" "gene78" 23.67 "data" "OK"
"A79" "gene79" 32.75 "data" "OK"
"A80" "gene80" 30.26 "data" "OK"
"A81" "gene81" 36.21 "data" "OK"
"A82" "gene82" 28.59 "data" "OK"
"A83" "gene83" 26.87 "data" "OK"
"A84" "gene84" 35.89 "data" "OK"
"A85" "ctrl1" 14.76 "hk" "OK"
"A86" "ctrl2" 15.44 "hk" "OK"
"A87" "ctrl3" 17.89 "hk" "OK"
"A88" "ctrl4" 19.18 "hk" "OK"
"A89" "ctrl5" 17.88 "hk" "OK"
"A90" "ctrl6" 36.75 "neg" "OK"
"A91" "ctrl7" "NA" "neg" "OK"
"A92" "ctrl8" "NA" "neg" "OK"
"A93" "ctrl9" "NA" "neg" "OK"
"A94" "ctrl10" 22.46 "pos" "OK"
"A95" "ctrl11" 22.55 "pos" "OK"
"A96" "ctrl12" 22.22 "pos" "OK"
