"well" "gene" "Ct" "type" "flag"
"A1" "gene1" 34.97 "data" "OK"
"A2" "gene2" 22.89 "data" "OK"
"A3" "gene3" 34.18 "data" "OK"
"A4" "gene4" 32.87 "data" "OK"
"A5" "gene5" 34.08 "data" "OK"
"A6" "gene6" 35.53 "data" "OK"
"A7" "gene7" 33.78 "data" "OK"
"A8" "gene8" 22.26 "data" "OK"
"A9" "gene9" 32.84 "data" "OK"
"A10" "gene10" 34.08 "data" "OK"
"A11" "gene11" 21.96 "data" "OK"
"A12" "gene12" 36.33 "data" "OK"
"A13" "gene13" 32.59 "data" "OK"
"A14" "gene14" 31.79 "data" "OK"
"A15" "gene15" 20.6 "data" "OK"
"A16" "gene16" 20.04 "data" "OK"
"A17" "gene17" 21.74 "data" "OK"
"A18" "gene18" 25.89 "data" "OK"
"A19" "gene19" 35.38 "data" "OK"
"A20" "gene20" 33.81 "data" "OK"
"A21" "gene21" 27.77 "data" "OK"
"A22" "gene22" 25.85 "data" "OK"
"A23" "gene23" 35.34 "data" "OK"
"A24" "gene24" 34.91 "data" "OK"
"A25" "gene25" 32.47 "data" "OK"
"A26" "gene26" 30.81 "data" "OK"
"A27" "gene27" 33.79 "data" "OK"
"A28" "gene28" 26.54 "data" "OK"
"A29" "gene29" 35.83 "data" "OK"
"A30" "gene30" 35.2 "data" "OK"
"A31" "gene31" 31.43 "data" "OK"
"A32" "gene32" 21.23 "data" "OK"
"A33" "gene33" 26.13 "data" "OK"
"A34" "gene34" 36.35 "data" "OK"
"A35" "gene35" 33.38 "data" "OK"
"A36" "gene36" 36.37 "data" "OK"
"A37" "gene37" 19.44 "data" "OK"
"A38" "gene38" "NA" "data" "OK"
"A39" "gene39" "NA" "data" "OK"
"A40" "gene40" 36.39 "data" "OK"
"A41" "gene41" 32.58 "data" "OK"
"A42" "gene42" 35.5 "data" "OK"
"A43" "gene43" "NA" "data" "OK"
"A44" "gene44" 35.04 "data" "OK"
"A45" "gene45" 35.32 "data" "OK"
"A46" "gene46" 25.68 "data" "OK"
"A47" "gene47" 24.64 "data" "OK"
"A48" "gene48" "NA" "data" "OK"
"A49" "gene49" 32.19 "data" "OK"
"A50" "gene50" 25.23 "data" "OK"
"A51" "gene51" 27.46 "data" "OK"
"A52" "gene52" 26.07 "data" "OK"
"A53" "gene53" 24.6 "data" "OK"
"A54" "gene54" 36.18 "data" "OK"
"A55" "gene55" 36.31 "data" "OK"
"A56" "gene56" 35.17 "data" "OK"
"A57" "gene57" 33.93 "data" "OK"
"A58" "gene58" 36.11 "data" "OK"
"A59" "gene59" 27.95 "data" "OK"
"A60" "gene60" 36.27 "data" "OK"
"A61" "gene61" 31.61 "data" "OK"
"A62" "gene62" 34.41 "data" "OK"
"A63" "gene63" 34.83 "data" "OK"
"A64" "gene64" 34.77 "data" "OK"
"A65" "gene65" "NA" "data" "OK"
"A66" "gene66" 33.74 "data" "OK"
"A67" "gene67" 31.92 "data" "OK"
"A68" "gene68" 30.31 "data" "OK"
"A69" "gene69" 19.38 "data" "OK"
"A70" "gene70" 36.78 "data" "OK"
"A71" "gene71" 35.59 "data" "OK"
"A72" "gene72" 24.68 "data" "OK"
"A73" "gene73" 20.14 "data" "OK"
"A74" "gene74" 25.55 "data" "OK"
"A75" "gene75" 15.92 "data" "OK"
"A76" "gene76" 31.99 "data" "OK"
"A77" "gene77" 35.08 "data" "OK"
"A78" "gene78" 23.92 "data" "OK"
"A79" "gene79" 35.63 "data" "OK"
"A80" "gene80" 31.59 "data" "OK"
"A81" "gene81" 36.1 "data" "OK"
"A82" "gene82" 28.92 "data" "OK"
"A83" "gene83" 25.86 "data" "OK"
"A84" "gene84" "NA" "data" "OK"
"A85" "ctrl1" 15.27 "hk" "OK"
"A86" "ctrl2" 15.86 "hk" "OK"
"A87" "ctrl3" 18.06 "hk" "OK"
"A88" "ctrl4" 19.59 "hk" "OK"
"A89" "ctrl5" 17.98 "hk" "OK"
"A90" "ctrl6" 38.25 "neg" "OK"
"A91" "ctrl7" "NA" "neg" "OK"
"A92" "ctrl8" "NA" "neg" "OK"
"A93" "ctrl9" "NA" "neg" "OK"
"A94" "ctrl10" 21.67 "pos" "OK"
"A95" "ctrl11" 21.99 "pos" "OK"
"A96" "ctrl12" 21.97 "pos" "OK"
