"well" "gene" "Ct" "type" "flag"
"A1" "gene1" 32.37 "data" "OK"
"A2" "gene2" 21.9 "data" "OK"
"A3" "gene3" 30.72 "data" "OK"
"A4" "gene4" 30.03 "data" "OK"
"A5" "gene5" 31.14 "data" "OK"
"A6" "gene6" 34.03 "data" "OK"
"A7" "gene7" 31.61 "data" "OK"
"A8" "gene8" 25.25 "data" "OK"
"A9" "gene9" 30.84 "data" "OK"
"A10" "gene10" 26.86 "data" "OK"
"A11" "gene11" 24.18 "data" "OK"
"A12" "gene12" 32.93 "data" "OK"
"A13" "gene13" 31.27 "data" "OK"
"A14" "gene14" 29 "data" "OK"
"A15" "gene15" 21.66 "data" "OK"
"A16" "gene16" 20.97 "data" "OK"
"A17" "gene17" 21.72 "data" "OK"
"A18" "gene18" 26.98 "data" "OK"
"A19" "gene19" 32.77 "data" "OK"
"A20" "gene20" 31.57 "data" "OK"
"A21" "gene21" 27.82 "data" "OK"
"A22" "gene22" 25.26 "data" "OK"
"A23" "gene23" 32.41 "data" "OK"
"A24" "gene24" 31.01 "data" "OK"
"A25" "gene25" 31.72 "data" "OK"
"A26" "gene26" 30.59 "data" "OK"
"A27" "gene27" 32.96 "data" "OK"
"A28" "gene28" 23.78 "data" "OK"
"A29" "gene29" 31.8 "data" "OK"
"A30" "gene30" 30.68 "data" "OK"
"A31" "gene31" 30.4 "data" "OK"
"A32" "gene32" 21.16 "data" "OK"
"A33" "gene33" 27.96 "data" "OK"
"A34" "gene34" 36.58 "data" "OK"
"A35" "gene35" 32.14 "data" "OK"
"A36" "gene36" 34.28 "data" "OK"
"A37" "gene37" 19.85 "data" "OK"
"A38" "gene38" 31.73 "data" "OK"
"A39" "gene39" 31.89 "data" "OK"
"A40" "gene40" 31.54 "data" "OK"
"A41" "gene41" 30.64 "data" "OK"
"A42" "gene42" 31.44 "data" "OK"
"A43" "gene43" 31.01 "data" "OK"
"A44" "gene44" 31.85 "data" "OK"
"A45" "gene45" 31.46 "data" "OK"
"A46" "gene46" 24.43 "data" "OK"
"A47" "gene47" 24.53 "data" "OK"
"A48" "gene48" 34.09 "data" "OK"
"A49" "gene49" 31.36 "data" "OK"
"A50" "gene50" 24.39 "data" "OK"
"A51" "gene51" 26.88 "data" "OK"
"A52" "gene52" 25.22 "data" "OK"
"A53" "gene53" 25.03 "data" "OK"
"A54" "gene54" 31.63 "data" "OK"
"A55" "gene55" 32.24 "data" "OK"
"A56" "gene56" 31.22 "data" "OK"
"A57" "gene57" 31.46 "data" "OK"
"A58" "gene58" 31.1 "data" "OK"
"A59" "gene59" 28.91 "data" "OK"
"A60" "gene60" 31.85 "data" "OK"
"A61" "gene61" 30.79 "data" "OK"
"A62" "gene62" 32.83 "data" "OK"
"A63" "gene63" 32.1 "data" "OK"
"A64" "gene64" 31.77 "data" "OK"
"A65" "gene65" 32.38 "data" "OK"
"A66" "gene66" 31.27 "data" "OK"
"A67" "gene67" 31.85 "data" "OK"
"A68" "gene68" 29.81 "data" "OK"
"A69" "gene69" 19.47 "data" "OK"
"A70" "gene70" 32.19 "data" "OK"
"A71" "gene71" 32.44 "data" "OK"
"A72" "gene72" 25.34 "data" "OK"
"A73" "gene73" 21.64 "data" "OK"
"A74" "gene74" 27.41 "data" "OK"
"A75" "gene75" 17.49 "data" "OK"
"A76" "gene76" 30.64 "data" "OK"
"A77" "gene77" 31.43 "data" "OK"
"A78" "gene78" 25.32 "data" "OK"
"A79" "gene79" 31.75 "data" "OK"
"A80" "gene80" 30.46 "data" "OK"
"A81" "gene81" 32.85 "data" "OK"
"A82" "gene82" 27.84 "data" "OK"
"A83" "gene83" 25.07 "data" "OK"
"A84" "gene84" 32.17 "data" "OK"
"A85" "ctrl1" 15.34 "hk" "OK"
"A86" "ctrl2" 16.37 "hk" "OK"
"A87" "ctrl3" 18.97 "hk" "OK"
"A88" "ctrl4" 19.26 "hk" "OK"
"A89" "ctrl5" 18.03 "hk" "OK"
"A90" "ctrl6" 36.89 "neg" "OK"
"A91" "ctrl7" "NA" "neg" "OK"
"A92" "ctrl8" "NA" "neg" "OK"
"A93" "ctrl9" "NA" "neg" "OK"
"A94" "ctrl10" 23.23 "pos" "OK"
"A95" "ctrl11" 23.31 "pos" "OK"
"A96" "ctrl12" 23.12 "pos" "OK"
