"well" "gene" "Ct" "type" "flag"
"A1" "gene1" 32.83 "data" "OK"
"A2" "gene2" 23.35 "data" "OK"
"A3" "gene3" 30.6 "data" "OK"
"A4" "gene4" 29.69 "data" "OK"
"A5" "gene5" 31.6 "data" "OK"
"A6" "gene6" 33.67 "data" "OK"
"A7" "gene7" 31.38 "data" "OK"
"A8" "gene8" 24.5 "data" "OK"
"A9" "gene9" 30.64 "data" "OK"
"A10" "gene10" 28.97 "data" "OK"
"A11" "gene11" 24.85 "data" "OK"
"A12" "gene12" 32.19 "data" "OK"
"A13" "gene13" 31.77 "data" "OK"
"A14" "gene14" 29 "data" "OK"
"A15" "gene15" 21.57 "data" "OK"
"A16" "gene16" 21.21 "data" "OK"
"A17" "gene17" 22.43 "data" "OK"
"A18" "gene18" 27.89 "data" "OK"
"A19" "gene19" 32.4 "data" "OK"
"A20" "gene20" 31.56 "data" "OK"
"A21" "gene21" 27.76 "data" "OK"
"A22" "gene22" 26.74 "data" "OK"
"A23" "gene23" 32.15 "data" "OK"
"A24" "gene24" 31.45 "data" "OK"
"A25" "gene25" 31.05 "data" "OK"
"A26" "gene26" 29.44 "data" "OK"
"A27" "gene27" 31.57 "data" "OK"
"A28" "gene28" 25.26 "data" "OK"
"A29" "gene29" 31.71 "data" "OK"
"A30" "gene30" 30.73 "data" "OK"
"A31" "gene31" 29.58 "data" "OK"
"A32" "gene32" 20.86 "data" "OK"
"A33" "gene33" 28.05 "data" "OK"
"A34" "gene34" 35.59 "data" "OK"
"A35" "gene35" 32.82 "data" "OK"
"A36" "gene36" 34.33 "data" "OK"
"A37" "gene37" 19.48 "data" "OK"
"A38" "gene38" 31.42 "data" "OK"
"A39" "gene39" 31.99 "data" "OK"
"A40" "gene40" 31.83 "data" "OK"
"A41" "gene41" 30.85 "data" "OK"
"A42" "gene42" 30.26 "data" "OK"
"A43" "gene43" 31.7 "data" "OK"
"A44" "gene44" 31.69 "data" "OK"
"A45" "gene45" 31.99 "data" "OK"
"A46" "gene46" 24.96 "data" "OK"
"A47" "gene47" 24.22 "data" "OK"
"A48" "gene48" 35.05 "data" "OK"
"A49" "gene49" 32.08 "data" "OK"
"A50" "gene50" 24.96 "data" "OK"
"A51" "gene51" 26.22 "data" "OK"
"A52" "gene52" 23.7 "data" "OK"
"A53" "gene53" 26.25 "data" "OK"
"A54" "gene54" 32.13 "data" "OK"
"A55" "gene55" 32.58 "data" "OK"
"A56" "gene56" 31.22 "data" "OK"
"A57" "gene57" 32.01 "data" "OK"
"A58" "gene58" 32.49 "data" "OK"
"A59" "gene59" 28.58 "data" "OK"
"A60" "gene60" 32.09 "data" "OK"
"A61" "gene61" 29.81 "data" "OK"
"A62" "gene62" 32.02 "data" "OK"
"A63" "gene63" 30.97 "data" "OK"
"A64" "gene64" 32.31 "data" "OK"
"A65" "gene65" 32.19 "data" "OK"
"A66" "gene66" 30.52 "data" "OK"
"A67" "gene67" 31.75 "data" "OK"
"A68" "gene68" 29.92 "data" "OK"
"A69" "gene69" 19.37 "data" "OK"
"A70" "gene70" 32.92 "data" "OK"
"A71" "gene71" 32.81 "data" "OK"
"A72" "gene72" 24.89 "data" "OK"
"A73" "gene73" 20.92 "data" "OK"
"A74" "gene74" 27.29 "data" "OK"
"A75" "gene75" 18.11 "data" "OK"
"A76" "gene76" 29.75 "data" "OK"
"A77" "gene77" 31.74 "data" "OK"
"A78" "gene78" 26.06 "data" "OK"
"A79" "gene79" 32.17 "data" "OK"
"A80" "gene80" 31.57 "data" "OK"
"A81" "gene81" 32.8 "data" "OK"
"A82" "gene82" 28.79 "data" "OK"
"A83" "gene83" 25.4 "data" "OK"
"A84" "gene84" 32.03 "data" "OK"
"A85" "ctrl1" 15.2 "hk" "OK"
"A86" "ctrl2" 16.8 "hk" "OK"
"A87" "ctrl3" 18.5 "hk" "OK"
"A88" "ctrl4" 19.67 "hk" "OK"
"A89" "ctrl5" 18.29 "hk" "OK"
"A90" "ctrl6" 36.67 "neg" "OK"
"A91" "ctrl7" "NA" "neg" "OK"
"A92" "ctrl8" "NA" "neg" "OK"
"A93" "ctrl9" "NA" "neg" "OK"
"A94" "ctrl10" 22.77 "pos" "OK"
"A95" "ctrl11" 22.91 "pos" "OK"
"A96" "ctrl12" 22.65 "pos" "OK"
